"SiteJ snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
0.0250 0.0500 350.1756 -7.0318
0.0750 0.0500 350.1756 -7.7057
0.1250 0.0500 350.2337 -8.3796
0.1750 0.0500 350.5747 -9.0535
0.2250 0.0500 351.4717 -9.7274
0.2750 0.0500 353.5873 -10.4013
0.3250 0.0500 359.1923 -11.0752
0.3750 0.0500 373.5307 -11.7491
0.4250 0.0500 407.2852 -12.4230
0.4750 0.0500 498.2926 -12.8650
0.5250 0.0500 592.5345 -13.0750
0.5750 0.0500 554.4884 -13.2850
0.6250 0.0500 600.2715 -13.4950
0.6750 0.0500 419.4250 -13.7050
0.7250 0.0500 399.6929 -13.8553
0.7750 0.0500 404.3903 -13.9459
0.8250 0.0500 439.1783 -14.0366
0.8750 0.0500 398.3578 -14.1272
0.9250 0.0500 401.1397 -14.2178
0.9750 0.0500 404.2456 -14.3084
1.0500 0.1000 438.4742 -14.4444
1.1500 0.1000 424.0957 -14.6256
1.2500 0.1000 367.9656 -14.8069
1.3500 0.1000 386.5309 -14.9881
1.4500 0.1000 541.0406 -15.1694
1.5500 0.1000 500.7293 -15.3506
1.6500 0.1000 354.0381 -15.5319
1.7500 0.1000 354.0304 -15.7131
1.8500 0.1000 341.3600 -15.8944
1.9500 0.1000 340.1739 -16.0756
2.0500 0.1000 342.9169 -16.2569
2.1500 0.1000 340.8271 -16.4381
2.2500 0.1000 360.5138 -16.6194
2.3500 0.1000 380.6857 -16.7450
2.4500 0.1000 397.1535 -16.8150
2.5500 0.1000 482.2230 -16.8850
2.6500 0.1000 612.5105 -16.9550
2.7500 0.1000 620.5645 -17.0250
2.8500 0.1000 594.0734 -17.0700
2.9500 0.1000 634.6669 -17.0900
3.0500 0.1000 671.9521 -17.1100
3.1500 0.1000 635.8421 -17.1300
3.2500 0.1000 518.2253 -17.1500
3.3500 0.1000 499.8887 -17.1410
3.4500 0.1000 586.2189 -17.1030
3.5500 0.1000 603.6995 -17.0650
3.6500 0.1000 580.7065 -17.0270
3.7500 0.1000 638.9950 -16.9890
3.8500 0.1000 685.1067 -16.9560
3.9500 0.1000 543.7012 -16.9280
4.0500 0.1000 502.8690 -16.9000
4.1500 0.1000 705.2720 -16.8720
4.2500 0.1000 728.0090 -16.8440
4.3500 0.1000 574.4686 -16.8030
4.4500 0.1000 532.3005 -16.7490
4.5500 0.1000 481.4765 -16.6950
4.6500 0.1000 414.6677 -16.6410
4.7500 0.1000 416.8225 -16.5870
4.8500 0.1000 419.1703 -16.5040
4.9500 0.1000 420.8848 -16.3920
5.0500 0.1000 502.2233 -16.2800
5.1500 0.1000 650.3290 -16.1680
5.2500 0.1000 634.6213 -16.0560
5.3500 0.1000 499.4042 -15.9900
5.4500 0.1000 513.0201 -15.9700
5.5500 0.1000 694.6459 -15.9500
5.6500 0.1000 831.8212 -15.9300
5.7500 0.1000 812.9560 -15.9100
5.8500 0.1000 772.6916 -15.8720
5.9500 0.1000 830.0153 -15.8160
6.0500 0.1000 880.4976 -15.7600
6.1500 0.1000 878.0389 -15.7040
6.2500 0.1000 854.9228 -15.6480
6.3500 0.1000 781.6856 -15.5890
6.4500 0.1000 653.2165 -15.5270
6.5500 0.1000 522.8050 -15.4650
6.6500 0.1000 481.8464 -15.4030
6.7500 0.1000 483.0558 -15.3410
