"SiteJ snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
0.0250 0.0500 350.0500 -20.6445
0.0750 0.0500 350.0500 -20.5937
0.1250 0.0500 350.0500 -20.5429
0.1750 0.0500 350.0500 -20.4922
0.2250 0.0500 350.0500 -20.4414
0.2750 0.0500 350.0500 -20.3906
0.3250 0.0500 350.0500 -20.3399
0.3750 0.0500 350.0500 -20.2891
0.4250 0.0500 350.0755 -20.2383
0.4750 0.0500 350.1997 -20.1876
0.5250 0.0500 350.5003 -20.1368
0.5750 0.0500 351.2023 -20.0860
0.6250 0.0500 352.9401 -20.0353
0.6750 0.0500 356.6864 -19.9845
0.7250 0.0500 366.0819 -19.9337
0.7750 0.0500 371.4943 -19.8830
0.8250 0.0500 400.7424 -19.8322
0.8750 0.0500 469.9378 -19.7815
0.9250 0.0500 608.3990 -19.7307
0.9750 0.0500 577.0601 -19.6799
1.0500 0.1000 354.0296 -19.6038
1.1500 0.1000 354.0193 -19.5022
1.2500 0.1000 354.0166 -19.4007
1.3500 0.1000 329.0157 -19.2992
1.4500 0.1000 351.0140 -19.1977
1.5500 0.1000 335.0136 -19.0961
1.6500 0.1000 346.4661 -18.9946
1.7500 0.1000 374.1700 -18.8931
1.8500 0.1000 387.0109 -18.7915
1.9500 0.1000 407.0102 -18.6900
2.0500 0.1000 555.4272 -18.5640
2.1500 0.1000 668.0705 -18.4380
2.2500 0.1000 574.3096 -18.3120
2.3500 0.1000 613.3033 -18.1860
2.4500 0.1000 655.4554 -18.0600
2.5500 0.1000 688.0040 -18.0000
2.6500 0.1000 585.0555 -17.9400
2.7500 0.1000 453.1559 -17.8800
2.8500 0.1000 545.3696 -17.8200
2.9500 0.1000 625.9751 -17.7600
3.0500 0.1000 582.0058 -17.6800
3.1500 0.1000 579.4320 -17.6000
3.2500 0.1000 696.9704 -17.5200
3.3500 0.1000 673.5512 -17.4400
3.4500 0.1000 417.2846 -17.3600
3.5500 0.1000 586.1715 -17.3040
3.6500 0.1000 821.2077 -17.2480
3.7500 0.1000 637.2771 -17.1920
3.8500 0.1000 513.3164 -17.1360
3.9500 0.1000 550.7701 -17.0800
4.0500 0.1000 414.0084 -17.0000
4.1500 0.1000 415.2952 -16.9200
4.2500 0.1000 418.2951 -16.8400
4.3500 0.1000 420.0082 -16.7600
4.4500 0.1000 421.7240 -16.6800
4.5500 0.1000 580.5758 -16.5540
4.6500 0.1000 718.2247 -16.4280
4.7500 0.1000 553.2275 -16.3020
4.8500 0.1000 446.9968 -16.1760
4.9500 0.1000 577.2808 -16.0500
5.0500 0.1000 808.8921 -16.0160
5.1500 0.1000 854.1401 -15.9820
5.2500 0.1000 772.8617 -15.9480
5.3500 0.1000 772.5223 -15.9140
5.4500 0.1000 885.9813 -15.8800
5.5500 0.1000 875.1588 -15.8180
5.6500 0.1000 880.8419 -15.7560
5.7500 0.1000 829.6898 -15.6940
5.8500 0.1000 734.9511 -15.6320
5.9500 0.1000 573.6424 -15.5700
6.0500 0.1000 473.3049 -15.4960
6.1500 0.1000 490.1490 -15.4220
6.2500 0.1000 476.1383 -15.3480
6.3500 0.1000 459.0074 -15.2740
6.4500 0.1000 460.2943 -15.2000
6.5500 0.1000 462.0074 -15.1080
6.6500 0.1000 493.3209 -15.0160
6.7500 0.1000 519.9928 -14.9240
6.8500 0.1000 500.0068 -14.8320
6.9500 0.1000 616.4675 -14.7400
7.0500 0.1000 817.6146 -14.6920
7.1500 0.1000 877.2845 -14.6440
7.2500 0.1000 867.7082 -14.5960
7.3500 0.1000 710.8700 -14.5480
7.4500 0.1000 515.0066 -14.5000
7.5500 0.1000 584.9259 -14.4540
7.6500 0.1000 599.0765 -14.4080
7.7500 0.1000 494.0070 -14.3620
7.8500 0.1000 505.5887 -14.3160
7.9500 0.1000 521.0066 -14.2700
8.0500 0.1000 648.4055 -14.2200
8.1500 0.1000 679.0208 -14.1700
8.2500 0.1000 533.4707 -14.1200
8.3500 0.1000 576.9975 -14.0700
8.4500 0.1000 690.6889 -14.0200
8.5500 0.1000 718.5912 -13.9800
8.6500 0.1000 672.4160 -13.9400
8.7500 0.1000 858.0007 -13.9000
8.8500 0.1000 863.1482 -13.8600
8.9500 0.1000 870.0005 -13.8200
9.0500 0.1000 734.4516 -13.7860
9.1500 0.1000 550.3601 -13.7520
9.2500 0.1000 554.2999 -13.7180
9.3500 0.1000 631.4212 -13.6840
9.4500 0.1000 778.3421 -13.6500
9.5500 0.1000 851.5665 -13.6320
9.6500 0.1000 857.5854 -13.6140
9.7500 0.1000 868.8503 -13.5960
9.8500 0.1000 858.0008 -13.5780
9.9500 0.1000 858.0008 -13.5600
10.1000 0.2000 858.0008 -13.5660
10.3500 0.3000 719.8116 -13.5760
10.7000 0.4000 692.1350 -13.4650
11.1500 0.5000 675.1351 -13.3380
11.6500 0.5000 560.1767 -13.3080
12.1500 0.5000 626.7723 -13.2460
12.6500 0.5000 897.9733 -13.2080
13.1500 0.5000 737.3072 -13.2480
13.6500 0.5000 628.5147 -13.2430
14.1500 0.5000 729.7364 -13.2420
14.6500 0.5000 617.7507 -13.2470
15.1500 0.5000 641.9432 -13.2660
15.6500 0.5000 610.0970 -13.3060
16.1500 0.5000 827.0990 -13.3440
16.6500 0.5000 640.7423 -13.3790
17.1500 0.5000 732.3636 -13.4540
17.6500 0.5000 607.3809 -13.5890
18.1500 0.5000 659.0663 -13.6700
18.6500 0.5000 707.5987 -13.6700
19.1500 0.5000 647.3452 -13.6700
19.6500 0.5000 639.5092 -13.6700
20.1500 0.5000 847.0196 -13.6700
20.6500 0.5000 740.9843 -13.6700
21.1500 0.5000 838.6979 -13.6700
21.6500 0.5000 636.6939 -13.6700
22.1500 0.5000 673.0015 -13.6700
22.6500 0.5000 643.5785 -13.6700
23.1500 0.5000 674.0069 -13.6700
23.6500 0.5000 706.6041 -13.6700
24.1500 0.5000 710.6871 -13.6700
24.6500 0.5000 683.4302 -13.6700
25.1500 0.5000 656.3476 -13.6700
25.6500 0.5000 671.1572 -13.6700
26.1500 0.5000 790.0020 -13.6700
26.6500 0.5000 790.0020 -13.6700
27.1500 0.5000 790.0020 -13.6700
27.6500 0.5000 790.0020 -13.6700
28.1500 0.5000 790.0020 -13.6700
28.6500 0.5000 790.0020 -13.6700
29.1500 0.5000 790.0020 -13.6700
29.6500 0.5000 790.0020 -13.6700
30.1500 0.5000 790.0020 -13.6700
30.6500 0.5000 790.0020 -13.6700
31.1500 0.5000 790.0020 -13.6700
31.6500 0.5000 790.0020 -13.6700
32.1500 0.5000 790.0020 -13.6700
32.6500 0.5000 790.0020 -13.6700
33.1500 0.5000 790.0020 -13.6700
33.6500 0.5000 790.0020 -13.6700
34.1500 0.5000 790.0020 -13.6700
34.6500 0.5000 790.0020 -13.6700
