"SiteJ snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
29.6500 0.5000 790.0000 -13.3600
30.1500 0.5000 790.0000 -13.3600
30.6500 0.5000 790.0000 -13.3600
31.1500 0.5000 790.0000 -13.3600
31.6500 0.5000 790.0000 -13.3600
32.1500 0.5000 790.0000 -13.3600
32.6500 0.5000 790.0000 -13.3600
33.1500 0.5000 790.0000 -13.3600
33.6500 0.5000 790.0000 -13.3600
34.1500 0.5000 790.0000 -13.3600
34.6500 0.5000 790.0000 -13.3600
