"EKT snow model initialization file to be used as DEBAM input"
layerdepth layerthickness layerdensity layertemperature
0.0250 0.0500 481.0000 -26.3887
0.0750 0.0500 481.0000 -26.0291
0.1250 0.0500 393.0000 -25.6696
0.1750 0.0500 393.0000 -25.3101
0.2250 0.0500 369.0000 -24.9505
0.2750 0.0500 369.0000 -24.5910
0.3250 0.0500 413.0000 -24.2315
0.3750 0.0500 413.0000 -23.8719
0.4250 0.0500 372.0000 -23.5124
0.4750 0.0500 372.0000 -23.1528
0.5250 0.0500 374.0000 -22.7933
0.5750 0.0500 374.0000 -22.4338
0.6250 0.0500 374.0000 -22.0742
0.6750 0.0500 377.0000 -21.7147
0.7250 0.0500 377.0000 -21.3552
0.7750 0.0500 377.0000 -20.9956
0.8250 0.0500 858.0000 -20.6361
0.8750 0.0500 380.0000 -20.2765
0.9250 0.0500 388.0000 -19.9170
0.9750 0.0500 388.0000 -19.5575
1.0500 0.1000 384.0000 -19.2034
1.1500 0.1000 384.0000 -19.5774
1.2500 0.1000 478.0000 -19.9514
1.3500 0.1000 470.0000 -20.3254
1.4500 0.1000 433.0000 -20.6994
1.5500 0.1000 396.0000 -21.0398
1.6500 0.1000 456.0000 -21.2158
1.7500 0.1000 447.0000 -21.3918
1.8500 0.1000 447.0000 -21.5678
1.9500 0.1000 428.0000 -21.7438
2.0500 0.1000 422.0000 -21.9008
2.1500 0.1000 404.0000 -21.9648
2.2500 0.1000 474.0000 -22.0288
2.3500 0.1000 447.0000 -22.0928
2.4500 0.1000 441.5000 -22.1568
2.5500 0.1000 436.0000 -22.2059
2.6500 0.1000 459.0000 -22.1819
2.7500 0.1000 414.0000 -22.1579
2.8500 0.1000 423.0000 -22.1339
2.9500 0.1000 643.5000 -22.1099
3.0500 0.1000 429.0000 -22.0775
3.1500 0.1000 735.0000 -22.0035
3.2500 0.1000 443.0000 -21.9295
3.3500 0.1000 494.0000 -21.8555
3.4500 0.1000 457.0000 -21.7815
3.5500 0.1000 457.0000 -21.7102
3.6500 0.1000 481.0000 -21.6522
3.7500 0.1000 749.0000 -21.5942
3.8500 0.1000 466.0000 -21.5362
3.9500 0.1000 568.0000 -21.4782
4.0500 0.1000 858.0000 -21.4181
4.1500 0.1000 489.0000 -21.3481
4.2500 0.1000 443.0000 -21.2781
4.3500 0.1000 819.0000 -21.2081
4.4500 0.1000 681.0000 -21.1381
4.5500 0.1000 476.0000 -21.0661
4.6500 0.1000 524.0000 -20.9841
4.7500 0.1000 465.0000 -20.9021
4.8500 0.1000 661.5000 -20.8201
4.9500 0.1000 858.0000 -20.7381
5.0500 0.1000 489.0000 -20.6619
5.1500 0.1000 673.5000 -20.6139
5.2500 0.1000 473.0000 -20.5659
5.3500 0.1000 499.0000 -20.5179
5.4500 0.1000 508.0000 -20.4699
5.5500 0.1000 508.0000 -20.4164
5.6500 0.1000 525.0000 -20.3364
5.7500 0.1000 616.0000 -20.2564
5.8500 0.1000 472.0000 -20.1764
5.9500 0.1000 620.0000 -20.0964
6.0500 0.1000 477.0000 -20.0222
6.1500 0.1000 609.5000 -19.9762
6.2500 0.1000 482.0000 -19.9302
6.3500 0.1000 482.0000 -19.8842
6.4500 0.1000 504.0000 -19.8382
6.5500 0.1000 516.0000 -19.7932
6.6500 0.1000 489.0000 -19.7532
6.7500 0.1000 610.5000 -19.7132
6.8500 0.1000 492.0000 -19.6732
6.9500 0.1000 579.0000 -19.6332
7.0500 0.1000 606.0000 -19.5908
7.1500 0.1000 872.0000 -19.5368
7.2500 0.1000 820.0000 -19.4828
7.3500 0.1000 502.0000 -19.4288
7.4500 0.1000 578.0000 -19.3748
7.5500 0.1000 504.0000 -19.3273
7.6500 0.1000 507.0000 -19.3113
7.7500 0.1000 532.0000 -19.2953
7.8500 0.1000 532.0000 -19.2793
7.9500 0.1000 546.0000 -19.2633
8.0500 0.1000 551.0000 -19.2473
8.1500 0.1000 551.0000 -19.2313
8.2500 0.1000 518.0000 -19.2153
8.3500 0.1000 519.5000 -19.1993
8.4500 0.1000 521.0000 -19.1833
8.5500 0.1000 524.0000 -19.1659
8.6500 0.1000 524.0000 -19.1419
8.7500 0.1000 567.0000 -19.1179
8.8500 0.1000 547.0000 -19.0939
8.9500 0.1000 555.0000 -19.0699
9.0500 0.1000 532.0000 -19.0466
9.1500 0.1000 686.0000 -19.0266
9.2500 0.1000 537.0000 -19.0066
9.3500 0.1000 539.0000 -18.9866
9.4500 0.1000 708.5000 -18.9666
9.5500 0.1000 560.0000 -18.9500
9.6500 0.1000 560.0000 -18.9500
9.7500 0.1000 708.0000 -18.9500
9.8500 0.1000 548.0000 -18.9500
9.9500 0.1000 779.0000 -18.9500
10.1000 0.2000 608.5000 -18.9500
10.3500 0.3000 553.0000 -18.9500
10.7000 0.4000 554.0000 -18.9333
11.1500 0.5000 566.5000 -18.8965
11.6500 0.5000 576.0000 -18.8815
12.1500 0.5000 563.0000 -18.8864
12.6500 0.5000 595.0000 -18.9564
13.1500 0.5000 661.5000 -18.9971
13.6500 0.5000 587.0000 -18.9421
14.1500 0.5000 577.0000 -18.9129
14.6500 0.5000 580.0000 -18.9679
15.1500 0.5000 664.0000 -19.0264
15.6500 0.5000 592.0000 -19.0964
16.1500 0.5000 626.0000 -19.1558
16.6500 0.5000 590.0000 -19.1808
17.1500 0.5000 615.0000 -19.2000
17.6500 0.5000 735.0000 -19.2000
18.1500 0.5000 601.0000 -19.2000
18.6500 0.5000 619.0000 -19.2000
19.1500 0.5000 630.0000 -19.2000
19.6500 0.5000 618.0000 -19.2000
20.1500 0.5000 627.0000 -19.2000
20.6500 0.5000 615.0000 -19.2000
21.1500 0.5000 645.0000 -19.2000
21.6500 0.5000 753.0000 -19.2000
22.1500 0.5000 689.0000 -19.2000
22.6500 0.5000 730.0000 -19.2000
23.1500 0.5000 659.0000 -19.2000
23.6500 0.5000 681.0000 -19.2000
24.1500 0.5000 681.0000 -19.2000
24.6500 0.5000 681.0000 -19.2000
25.1500 0.5000 681.0000 -19.2000
25.6500 0.5000 681.0000 -19.2000
26.1500 0.5000 681.0000 -19.2000
26.6500 0.5000 681.0000 -19.2000
27.1500 0.5000 681.0000 -19.2000
27.6500 0.5000 681.0000 -19.2000
28.1500 0.5000 681.0000 -19.2000
28.6500 0.5000 681.0000 -19.2000
29.1500 0.5000 681.0000 -19.2000
29.6500 0.5000 681.0000 -19.2000
30.1500 0.5000 681.0000 -19.2000
30.6500 0.5000 681.0000 -19.2000
31.1500 0.5000 681.0000 -19.2000
31.6500 0.5000 681.0000 -19.2000
32.1500 0.5000 681.0000 -19.2000
32.6500 0.5000 681.0000 -19.2000
33.1500 0.5000 681.0000 -19.2000
33.6500 0.5000 681.0000 -19.2000
34.1500 0.5000 681.0000 -19.2000
34.6500 0.5000 681.0000 -19.2000
